date,vaccine,total_vaccinations,location
2021-01-31,Pfizer/BioNTech,195734,Switzerland
2021-02-01,Pfizer/BioNTech,202351,Switzerland
2021-02-02,Pfizer/BioNTech,210628,Switzerland
2021-02-03,Pfizer/BioNTech,218600,Switzerland
2021-02-04,Pfizer/BioNTech,228845,Switzerland
2021-02-05,Pfizer/BioNTech,239017,Switzerland
2021-02-06,Pfizer/BioNTech,241169,Switzerland
2021-02-07,Pfizer/BioNTech,241789,Switzerland
2021-02-08,Pfizer/BioNTech,252311,Switzerland
2021-02-09,Pfizer/BioNTech,267339,Switzerland
2021-02-10,Pfizer/BioNTech,282512,Switzerland
2021-02-11,Pfizer/BioNTech,298273,Switzerland
2021-02-12,Pfizer/BioNTech,311278,Switzerland
2021-02-13,Pfizer/BioNTech,313060,Switzerland
2021-02-14,Pfizer/BioNTech,313674,Switzerland
2021-02-15,Pfizer/BioNTech,322966,Switzerland
2021-02-16,Pfizer/BioNTech,334742,Switzerland
2021-02-17,Pfizer/BioNTech,346094,Switzerland
2021-02-18,Pfizer/BioNTech,359697,Switzerland
2021-02-19,Pfizer/BioNTech,371970,Switzerland
2021-02-20,Pfizer/BioNTech,374526,Switzerland
2021-02-21,Pfizer/BioNTech,375372,Switzerland
2021-02-22,Pfizer/BioNTech,384118,Switzerland
2021-02-23,Pfizer/BioNTech,394630,Switzerland
2021-02-24,Pfizer/BioNTech,405879,Switzerland
2021-02-25,Pfizer/BioNTech,417627,Switzerland
2021-02-26,Pfizer/BioNTech,426733,Switzerland
2021-02-27,Pfizer/BioNTech,429126,Switzerland
2021-02-28,Pfizer/BioNTech,430052,Switzerland
2021-03-01,Pfizer/BioNTech,439066,Switzerland
2021-03-02,Pfizer/BioNTech,449920,Switzerland
2021-03-03,Pfizer/BioNTech,463972,Switzerland
2021-03-04,Pfizer/BioNTech,478405,Switzerland
2021-03-05,Pfizer/BioNTech,491582,Switzerland
2021-03-06,Pfizer/BioNTech,494246,Switzerland
2021-03-07,Pfizer/BioNTech,495380,Switzerland
2021-03-08,Pfizer/BioNTech,507117,Switzerland
2021-03-09,Pfizer/BioNTech,521665,Switzerland
2021-03-10,Pfizer/BioNTech,536429,Switzerland
2021-03-11,Pfizer/BioNTech,552065,Switzerland
2021-03-12,Pfizer/BioNTech,565765,Switzerland
2021-03-13,Pfizer/BioNTech,567608,Switzerland
2021-03-14,Pfizer/BioNTech,568476,Switzerland
2021-03-15,Pfizer/BioNTech,579442,Switzerland
2021-03-16,Pfizer/BioNTech,595420,Switzerland
2021-03-17,Pfizer/BioNTech,613275,Switzerland
2021-03-18,Pfizer/BioNTech,631766,Switzerland
2021-03-19,Pfizer/BioNTech,647400,Switzerland
2021-03-20,Pfizer/BioNTech,650314,Switzerland
2021-03-21,Pfizer/BioNTech,651522,Switzerland
2021-03-22,Pfizer/BioNTech,665043,Switzerland
2021-03-23,Pfizer/BioNTech,680915,Switzerland
2021-03-24,Pfizer/BioNTech,697072,Switzerland
2021-03-25,Pfizer/BioNTech,710962,Switzerland
2021-03-26,Pfizer/BioNTech,725795,Switzerland
2021-03-27,Pfizer/BioNTech,729092,Switzerland
2021-03-28,Pfizer/BioNTech,731392,Switzerland
2021-03-29,Pfizer/BioNTech,744123,Switzerland
2021-03-30,Pfizer/BioNTech,759755,Switzerland
2021-03-31,Pfizer/BioNTech,775802,Switzerland
2021-04-01,Pfizer/BioNTech,793518,Switzerland
2021-04-02,Pfizer/BioNTech,798624,Switzerland
2021-04-03,Pfizer/BioNTech,802755,Switzerland
2021-04-04,Pfizer/BioNTech,803871,Switzerland
2021-04-05,Pfizer/BioNTech,807671,Switzerland
2021-04-06,Pfizer/BioNTech,828566,Switzerland
2021-04-07,Pfizer/BioNTech,853714,Switzerland
2021-04-08,Pfizer/BioNTech,880255,Switzerland
2021-04-09,Pfizer/BioNTech,902525,Switzerland
2021-04-10,Pfizer/BioNTech,908013,Switzerland
2021-04-11,Pfizer/BioNTech,910304,Switzerland
2021-04-12,Pfizer/BioNTech,936976,Switzerland
2021-04-13,Pfizer/BioNTech,967593,Switzerland
2021-04-14,Pfizer/BioNTech,999029,Switzerland
2021-04-15,Pfizer/BioNTech,1028751,Switzerland
2021-04-16,Pfizer/BioNTech,1055932,Switzerland
2021-04-17,Pfizer/BioNTech,1062854,Switzerland
2021-04-18,Pfizer/BioNTech,1067556,Switzerland
2021-04-19,Pfizer/BioNTech,1098278,Switzerland
2021-04-20,Pfizer/BioNTech,1132241,Switzerland
