date,vaccine,total_vaccinations,location
2021-04-24,Moderna,1245009,Italy
2021-04-24,Oxford/AstraZeneca,3954742,Italy
2021-04-24,Pfizer/BioNTech,12631405,Italy
2021-04-25,Johnson&Johnson,12875,Italy
2021-04-25,Moderna,1277638,Italy
2021-04-25,Oxford/AstraZeneca,4030593,Italy
2021-04-25,Pfizer/BioNTech,12782285,Italy
2021-04-26,Johnson&Johnson,22236,Italy
2021-04-26,Moderna,1316954,Italy
2021-04-26,Oxford/AstraZeneca,4095343,Italy
2021-04-26,Pfizer/BioNTech,13014300,Italy
2021-04-27,Johnson&Johnson,32060,Italy
2021-04-27,Moderna,1370639,Italy
2021-04-27,Oxford/AstraZeneca,4163275,Italy
2021-04-27,Pfizer/BioNTech,13257345,Italy
2021-04-28,Johnson&Johnson,41005,Italy
2021-04-28,Moderna,1425449,Italy
2021-04-28,Oxford/AstraZeneca,4240507,Italy
2021-04-28,Pfizer/BioNTech,13526602,Italy
2021-04-29,Johnson&Johnson,51122,Italy
2021-04-29,Moderna,1480634,Italy
2021-04-29,Oxford/AstraZeneca,4329617,Italy
2021-04-29,Pfizer/BioNTech,13903319,Italy
2021-04-30,Johnson&Johnson,65744,Italy
2021-04-30,Moderna,1529489,Italy
2021-04-30,Oxford/AstraZeneca,4415999,Italy
2021-04-30,Pfizer/BioNTech,14283189,Italy
2021-05-01,Johnson&Johnson,83592,Italy
2021-05-01,Moderna,1572207,Italy
2021-05-01,Oxford/AstraZeneca,4483950,Italy
2021-05-01,Pfizer/BioNTech,14588683,Italy
2021-05-02,Johnson&Johnson,95178,Italy
2021-05-02,Moderna,1603112,Italy
2021-05-02,Oxford/AstraZeneca,4548570,Italy
2021-05-02,Pfizer/BioNTech,14852089,Italy
2021-05-03,Johnson&Johnson,107049,Italy
2021-05-03,Moderna,1643814,Italy
2021-05-03,Oxford/AstraZeneca,4640808,Italy
2021-05-03,Pfizer/BioNTech,15120964,Italy
2021-05-04,Johnson&Johnson,119185,Italy
2021-05-04,Moderna,1704782,Italy
2021-05-04,Oxford/AstraZeneca,4757606,Italy
2021-05-04,Pfizer/BioNTech,15384575,Italy
2021-05-05,Johnson&Johnson,133519,Italy
2021-05-05,Moderna,1760310,Italy
2021-05-05,Oxford/AstraZeneca,4882946,Italy
2021-05-05,Pfizer/BioNTech,15676161,Italy
2021-05-06,Johnson&Johnson,146530,Italy
2021-05-06,Moderna,1808971,Italy
2021-05-06,Oxford/AstraZeneca,4994833,Italy
2021-05-06,Pfizer/BioNTech,16024396,Italy
2021-05-07,Johnson&Johnson,159061,Italy
2021-05-07,Moderna,1862499,Italy
2021-05-07,Oxford/AstraZeneca,5100378,Italy
2021-05-07,Pfizer/BioNTech,16398754,Italy
2021-05-08,Johnson&Johnson,176270,Italy
2021-05-08,Moderna,1923447,Italy
2021-05-08,Oxford/AstraZeneca,5204598,Italy
2021-05-08,Pfizer/BioNTech,16730913,Italy
2021-05-09,Johnson&Johnson,185305,Italy
2021-05-09,Moderna,1956359,Italy
2021-05-09,Oxford/AstraZeneca,5295925,Italy
2021-05-09,Pfizer/BioNTech,16981796,Italy
2021-05-10,Johnson&Johnson,193425,Italy
2021-05-10,Moderna,1998528,Italy
2021-05-10,Oxford/AstraZeneca,5404881,Italy
2021-05-10,Pfizer/BioNTech,17264513,Italy
2021-05-11,Johnson&Johnson,203494,Italy
2021-05-11,Moderna,2064671,Italy
2021-05-11,Oxford/AstraZeneca,5508202,Italy
2021-05-11,Pfizer/BioNTech,17543269,Italy
2021-05-12,Johnson&Johnson,212464,Italy
2021-05-12,Moderna,2127122,Italy
2021-05-12,Oxford/AstraZeneca,5609451,Italy
2021-05-12,Pfizer/BioNTech,17856162,Italy
2021-05-13,Johnson&Johnson,220709,Italy
2021-05-13,Moderna,2176017,Italy
2021-05-13,Oxford/AstraZeneca,5702264,Italy
2021-05-13,Pfizer/BioNTech,18236124,Italy
2021-05-14,Johnson&Johnson,228873,Italy
2021-05-14,Moderna,2226544,Italy
2021-05-14,Oxford/AstraZeneca,5799999,Italy
2021-05-14,Pfizer/BioNTech,18635508,Italy
2021-05-15,Johnson&Johnson,246829,Italy
2021-05-15,Moderna,2282046,Italy
2021-05-15,Oxford/AstraZeneca,5896433,Italy
2021-05-15,Pfizer/BioNTech,19011178,Italy
2021-05-16,Johnson&Johnson,263074,Italy
2021-05-16,Moderna,2317489,Italy
2021-05-16,Oxford/AstraZeneca,5975768,Italy
2021-05-16,Pfizer/BioNTech,19290368,Italy
2021-05-17,Johnson&Johnson,281075,Italy
2021-05-17,Moderna,2363313,Italy
2021-05-17,Oxford/AstraZeneca,6056717,Italy
2021-05-17,Pfizer/BioNTech,19613472,Italy
