iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BDI,Africa,Burundi,2021-11-10,20200.0,30.0,13.429,38.0,0.0,0.0,1648.249,2.448,1.096,3.101,0.0,0.0,0.62,,,,,,,,,,,,,,,,,,914.0,914.0,,,55.0,43.0,0.01,0.01,,,4.0,11.11,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,2021-11-10,119292.0,65.0,72.143,2845.0,5.0,5.429,7039.352,3.836,4.257,167.882,0.295,0.32,0.69,,,,,,,,,,,,,,,,,,28091131.0,13988235.0,13163613.0,1992434.0,49579.0,61525.0,165.76,82.54,77.68,11.76,3631.0,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2021-11-10,105719.0,1371.0,195.857,1758.0,27.0,3.857,3883.264,50.359,7.194,64.575,0.992,0.142,0.71,,,,,,,,,,,,,,,,,,507363.0,421472.0,166517.0,,,558.0,1.86,1.55,0.61,,20.0,41.67,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,2021-11-10,1748359.0,2657.0,2505.857,29303.0,30.0,22.0,45927.367,69.796,65.826,769.756,0.788,0.578,0.93,518.0,13.607,1704.0,44.762,,,,,81810.0,46950290.0,1233.33,2.149,89477.0,2.35,0.027,37.7,tests performed,59261335.0,29976317.0,28543312.0,741706.0,71187.0,63880.0,155.67,78.74,74.98,1.95,1678.0,67.13,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,2021-11-10,38278.0,14.0,7.143,350.0,0.0,0.143,68122.32,24.915,12.712,622.886,0.0,0.254,0.66,,,,,,,,,353.0,,,0.628,,,,,tests performed,511628.0,293634.0,217093.0,,,2507.0,91.05,52.26,38.64,,4462.0,49.07,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116507.0,56887.0,54690.0,,,437.0,175.2,85.55,82.24,,6572.0,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,2021-11-10,11579.0,0.0,0.0,100.0,0.0,0.0,2353.462,0.0,0.0,20.325,0.0,0.0,0.36,,,,,,,,,,,,,,,,,,422372.0,362174.0,321858.0,,,503.0,8.58,7.36,6.54,,102.0,5.56,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
TCD,Africa,Chad,2021-11-10,5107.0,0.0,0.0,175.0,0.0,0.0,301.922,0.0,0.0,10.346,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,229019.0,167809.0,61210.0,,,528.0,1.35,0.99,0.36,,31.0,22.22,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,2021-11-10,1715352.0,2164.0,2275.0,37895.0,12.0,15.0,89283.764,112.636,118.413,1972.428,0.625,0.781,1.15,,,,,,,,,49894.0,23880933.0,1242.998,2.597,64247.0,3.344,0.033,30.0,tests performed,38200588.0,16612491.0,15491728.0,6668491.0,117681.0,181265.0,198.83,86.47,80.63,34.71,9435.0,35.65,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHN,Asia,China,2021-11-10,98080.0,64.0,68.0,4636.0,0.0,0.0,67.912,0.044,0.047,3.21,0.0,0.0,1.24,,,,,,,,,,,,,,,,,,2346831000.0,1155058478.0,1072454000.0,37973000.0,8338000.0,8696714.0,162.5,79.98,74.26,2.63,6022.0,76.39,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,2021-11-10,5021619.0,2461.0,2074.286,127640.0,30.0,37.143,97952.533,48.005,40.461,2489.767,0.585,0.725,1.13,,,,,,,,,45978.0,27061940.0,527.875,0.897,39064.0,0.762,0.051,19.6,tests performed,49342027.0,31526877.0,22140469.0,,218447.0,276852.0,96.25,61.5,43.19,,5400.0,29.63,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,2021-11-10,4349.0,17.0,9.714,147.0,0.0,0.0,4895.009,19.134,10.934,165.456,0.0,0.0,0.95,,,,,,,,,,,,,,,,,,452612.0,273498.0,179114.0,,,2988.0,50.94,30.78,20.16,,3363.0,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,2021-11-10,18153.0,0.0,69.0,309.0,0.0,4.429,3208.935,0.0,12.197,54.622,0.0,0.783,0.96,,,,,,,,,,,,,,,,,,509251.0,384530.0,124721.0,,,7088.0,9.0,6.8,2.2,,1253.0,38.89,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
COK,Oceania,Cook Islands,2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24326.0,12600.0,11726.0,,,40.0,138.44,71.7,66.73,,2276.0,,17572.0,,,,,,,,,,,,,76.25,,,,,
CRI,North America,Costa Rica,2021-11-10,563290.0,0.0,265.429,7176.0,0.0,9.286,109609.689,0.0,51.649,1396.366,0.0,1.807,0.73,,,,,,,,,1405.0,2027619.0,394.551,0.273,1693.0,0.329,0.217,4.6,people tested,6736978.0,3790500.0,2922621.0,23857.0,,24238.0,131.09,73.76,56.87,0.46,4716.0,54.63,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,2021-11-10,61458.0,16.0,18.286,700.0,0.0,0.571,2271.71,0.591,0.676,25.875,0.0,0.021,0.79,,,,,,,,,2422.0,1106456.0,40.899,0.09,2232.0,0.083,0.008,126.0,samples tested,3376376.0,2397955.0,978421.0,,,33190.0,12.48,8.86,3.62,,1227.0,,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,2021-11-10,514850.0,7315.0,5431.143,9655.0,50.0,46.143,126137.498,1792.164,1330.622,2365.461,12.25,11.305,1.46,,,,,,,,,12207.0,3197585.0,783.404,2.991,10847.0,2.657,0.405,2.5,people tested,3690148.0,1948738.0,1820138.0,,14341.0,10957.0,90.41,47.74,44.59,,2684.0,37.96,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,2021-11-10,957332.0,413.0,511.714,8274.0,4.0,3.429,84588.661,36.492,45.214,731.08,0.353,0.303,0.57,,,,,,,,,,,,,,,,,,26423596.0,10043045.0,7779265.0,,34387.0,88949.0,233.48,88.74,68.74,,7859.0,65.28,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUW,North America,Curacao,2021-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194444.0,101451.0,92993.0,,578.0,180.0,117.99,61.56,56.43,,1092.0,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,2021-11-10,126497.0,266.0,217.714,577.0,0.0,0.143,141178.9,296.873,242.983,643.97,0.0,0.159,1.17,8.0,8.929,61.0,68.08,9.081,10.135,34.306,38.288,67349.0,15253609.0,17024.022,75.166,52271.0,58.338,0.004,243.4,tests performed,1228703.0,607956.0,573258.0,47489.0,2480.0,1659.0,137.13,67.85,63.98,5.3,1852.0,46.3,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,2021-11-10,1843019.0,14579.0,8541.714,31229.0,56.0,55.571,171850.426,1359.404,796.463,2911.916,5.222,5.182,1.49,252.0,23.497,1670.0,155.717,387.105,36.095,2442.974,227.793,89817.0,,,8.375,81900.0,7.637,0.096,10.4,tests performed,12608087.0,6356158.0,6151314.0,416025.0,40701.0,37634.0,117.56,59.27,57.36,3.88,3509.0,,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,2021-11-10,57662.0,24.0,11.429,1099.0,0.0,0.143,624.196,0.26,0.124,11.897,0.0,0.002,0.81,,,,,,,,,,,,,,,,,,151795.0,112529.0,39351.0,,,512.0,0.16,0.12,0.04,,6.0,,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
