location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Belgium,2021-04-16,80+,83.2,28.97
Belgium,2021-04-23,18-24,8.77,4.39
Belgium,2021-04-23,25-49,12.48,6.43
Belgium,2021-04-23,50-59,18.99,8.16
Belgium,2021-04-23,60-69,40.61,6.98
Belgium,2021-04-23,70-79,88.24,9.22
Belgium,2021-04-23,80+,84.37,29.66
Belgium,2021-04-30,18-24,9.38,4.61
Belgium,2021-04-30,25-49,13.34,6.71
Belgium,2021-04-30,50-59,23.9,8.59
Belgium,2021-04-30,60-69,57.45,8.09
Belgium,2021-04-30,70-79,90.01,12.9
Belgium,2021-04-30,80+,85.44,32.73
Belgium,2021-05-07,18-24,10.01,4.93
Belgium,2021-05-07,25-49,15.68,7.19
Belgium,2021-05-07,50-59,32.82,9.5
Belgium,2021-05-07,60-69,75.23,10.33
Belgium,2021-05-07,70-79,91.47,20.28
Belgium,2021-05-07,80+,86.69,51.62
Belgium,2021-05-14,18-24,10.69,5.32
Belgium,2021-05-14,25-49,18.69,7.75
Belgium,2021-05-14,50-59,41.14,10.45
Belgium,2021-05-14,60-69,79.33,12.95
Belgium,2021-05-14,70-79,92.33,40.11
Belgium,2021-05-14,80+,87.37,56.73
Belgium,2021-05-21,18-24,11.34,6.37
Belgium,2021-05-21,25-49,22.87,9.3
Belgium,2021-05-21,50-59,56.62,13.04
Belgium,2021-05-21,60-69,82.18,19.2
Belgium,2021-05-21,70-79,92.97,52.43
Belgium,2021-05-21,80+,88.03,58.79
Belgium,2021-05-28,18-24,12.27,7.57
Belgium,2021-05-28,25-49,26.88,11.4
Belgium,2021-05-28,50-59,60.44,17.83
Belgium,2021-05-28,60-69,84.03,31.31
Belgium,2021-05-28,70-79,93.29,60.58
Belgium,2021-05-28,80+,88.39,60.23
Belgium,2021-06-04,18-24,14.37,8.72
Belgium,2021-06-04,25-49,32.94,13.79
Belgium,2021-06-04,50-59,71.64,23.26
Belgium,2021-06-04,60-69,89.1,46.3
Belgium,2021-06-04,70-79,93.71,62.97
Belgium,2021-06-04,80+,88.84,62.54
Belgium,2021-06-11,18-24,17.39,9.95
Belgium,2021-06-11,25-49,41.05,16.86
Belgium,2021-06-11,50-59,83.23,32.5
Belgium,2021-06-11,60-69,90.45,60.66
Belgium,2021-06-11,70-79,94.05,67.37
Belgium,2021-06-11,80+,89.17,73.42
Belgium,2021-06-18,18-24,24.31,11.1
Belgium,2021-06-18,25-49,56.39,20.91
Belgium,2021-06-18,50-59,85.75,39.1
Belgium,2021-06-18,60-69,91.0,64.78
Belgium,2021-06-18,70-79,94.33,70.65
Belgium,2021-06-18,80+,89.45,80.78
Belgium,2021-06-25,18-24,37.85,14.09
Belgium,2021-06-25,25-49,67.86,24.53
Belgium,2021-06-25,50-59,86.53,44.47
Belgium,2021-06-25,60-69,91.34,67.08
Belgium,2021-06-25,70-79,94.53,73.24
Belgium,2021-06-25,80+,89.65,84.43
Belgium,2021-07-02,18-24,51.77,16.31
Belgium,2021-07-02,25-49,74.19,28.16
Belgium,2021-07-02,50-59,87.0,48.41
Belgium,2021-07-02,60-69,91.59,70.75
Belgium,2021-07-02,70-79,94.7,77.46
Belgium,2021-07-02,80+,89.79,86.09
Belgium,2021-07-09,18-24,61.63,19.27
Belgium,2021-07-09,25-49,75.53,34.85
